type size particles iterations skipped time
m 200 6000 1000 5405 0.150296
m 200 6000 1000 5374 0.106288
m 200 6000 1000 5508 0.110205
m 200 6000 1000 5545 5.247986
m 200 6000 10000 915 0.453706
m 200 6000 10000 1062 0.385181
m 200 6000 10000 1427 0.48228
m 200 6000 10000 1260 45.21038
m 200 6000 10000 954 0.468293
m 200 6000 10000 1238 0.386016
m 200 6000 10000 1275 0.397581
m 200 6000 10000 1240 46.72366
m 200 6000 10000 896 0.450465
m 200 6000 10000 1144 0.373622
m 200 6000 10000 1248 0.409991
m 200 6000 10000 1338 44.76399
m 200 6000 10000 964 0.472625
m 200 6000 10000 1063 0.372015
m 200 6000 10000 1245 0.439882
m 200 6000 10000 1306 45.15202
m 200 6000 100000 7 0.523436
m 200 6000 100000 36 0.381981
m 200 6000 100000 59 0.477307
m 200 6000 100000 89 54.55365
m 200 6000 100000 3 0.504524
m 200 6000 100000 45 0.421755
m 200 6000 100000 56 0.409645
m 200 6000 100000 68 54.63413
m 200 6000 100000 3 0.494675
m 200 6000 100000 31 0.39085
m 200 6000 100000 55 0.396689
m 200 6000 100000 87 54.484
m 200 6000 100000 1 0.497098
m 200 6000 100000 28 0.440936
m 200 6000 100000 52 0.389895
m 200 6000 100000 72 53.74522
m 375 7032 1000 6913 0.183517
m 375 7032 1000 6950 0.151944
m 375 7032 1000 6953 0.178477
m 375 7032 1000 6953 0.971375
m 375 7032 1000 6944 0.192938
m 375 7032 1000 6962 0.157967
m 375 7032 1000 6975 0.40106
m 375 7032 1000 6967 0.727094
m 375 7032 1000 6948 0.203693
m 375 7032 1000 6947 0.138683
m 375 7032 1000 6961 0.263686
m 375 7032 1000 6965 1.05357
m 375 7032 1000 6920 0.193884
m 375 7032 1000 6903 0.139381
m 375 7032 1000 6940 0.17703
m 375 7032 1000 6930 1.33252
m 375 7032 10000 5819 1.714159
m 375 7032 10000 5950 1.189354
m 375 7032 10000 6047 1.273231
m 375 7032 10000 6032 10.44026
m 375 7032 10000 5917 1.727515
m 375 7032 10000 5901 1.208786
m 375 7032 10000 5910 1.223412
m 375 7032 10000 5970 10.46942
m 375 7032 10000 5832 1.715725
m 375 7032 10000 5974 1.250508
m 375 7032 10000 6037 1.033385
m 375 7032 10000 6037 10.84739
m 375 7032 10000 5787 1.67205
m 375 7032 10000 5878 1.168346
m 375 7032 10000 5978 1.019131
m 375 7032 10000 6174 8.974772
m 375 7032 100000 482 4.467278
m 375 7032 100000 641 3.438826
m 375 7032 100000 687 3.342359
m 375 7032 100000 696 59.45751
m 375 7032 100000 635 5.058873
m 375 7032 100000 588 3.333127
m 375 7032 100000 677 3.277287
m 375 7032 100000 739 60.4671
m 375 7032 100000 482 4.500068
m 375 7032 100000 636 3.543895
m 375 7032 100000 685 3.464157
m 375 7032 100000 770 59.40521
m 375 7032 100000 516 4.612061
m 375 7032 100000 569 3.360666
m 375 7032 100000 693 3.333223
m 375 7032 100000 700 58.86401
m 375 14063 1000 13718 0.382213
m 375 14063 1000 13745 0.267736
m 375 14063 1000 13810 0.319805
m 375 14063 1000 13820 2.866388
m 375 14063 1000 13759 0.380326
m 375 14063 1000 13849 0.273269
m 375 14063 1000 13869 0.513742
m 375 14063 1000 13892 2.010925
m 375 14063 1000 13801 0.381418
m 375 14063 1000 13840 0.280396
m 375 14063 1000 13851 0.449025
m 375 14063 1000 13868 2.508353
m 375 14063 1000 13699 0.387525
m 375 14063 1000 13734 0.262771
m 375 14063 1000 13804 0.540856
m 375 14063 1000 13790 3.306332
m 375 14063 10000 9672 3.059044
m 375 14063 10000 10109 2.136981
m 375 14063 10000 10633 2.020518
m 375 14063 10000 10804 31.32503
m 375 14063 10000 10260 3.142786
m 375 14063 10000 10218 2.168447
m 375 14063 10000 10335 2.03559
m 375 14063 10000 10819 31.3545
m 375 14063 10000 9898 3.093099
m 375 14063 10000 10460 2.214419
m 375 14063 10000 10668 2.107366
m 375 14063 10000 10735 31.25929
m 375 14063 10000 9720 2.953603
m 375 14063 10000 10378 2.105025
m 375 14063 10000 10521 1.881794
m 375 14063 10000 10658 33.55633
m 375 14063 100000 482 4.681419
m 375 14063 100000 576 3.65776
m 375 14063 100000 755 3.52741
m 375 14063 100000 765 118.0239
m 375 14063 100000 634 5.423356
m 375 14063 100000 591 3.657076
m 375 14063 100000 657 3.409632
m 375 14063 100000 792 121.1451
m 375 14063 100000 482 4.990276
m 375 14063 100000 650 3.765704
m 375 14063 100000 736 4.147945
m 375 14063 100000 802 128.2187
m 375 14063 100000 516 5.008757
m 375 14063 100000 550 3.684158
m 375 14063 100000 734 4.487704
m 375 14063 100000 704 127.9312
m 375 21094 1000 20399 0.575523
m 375 21094 1000 20542 0.414757
m 375 21094 1000 20617 0.518764
m 375 21094 1000 20591 6.436909
m 375 21094 1000 20474 0.565473
m 375 21094 1000 20519 0.427079
m 375 21094 1000 20608 0.438861
m 375 21094 1000 20672 4.952169
m 375 21094 1000 20555 0.574401
m 375 21094 1000 20602 0.392825
m 375 21094 1000 20588 0.423175
m 375 21094 1000 20713 4.581115
m 375 21094 1000 20392 0.563024
m 375 21094 1000 20446 0.398296
m 375 21094 1000 20559 0.49531
m 375 21094 1000 20570 5.526848
m 375 21094 10000 11341 3.802556
m 375 21094 10000 12414 2.795296
m 375 21094 10000 13039 2.925457
m 375 21094 10000 13407 75.79685
m 375 21094 10000 12554 4.097723
m 375 21094 10000 11408 2.674193
m 375 21094 10000 12137 2.739641
m 375 21094 10000 13078 77.60398
m 375 21094 10000 11769 3.803296
m 375 21094 10000 12607 2.842627
m 375 21094 10000 13016 2.615339
m 375 21094 10000 13265 74.728
m 375 21094 10000 11571 3.969363
m 375 21094 10000 12267 2.808579
m 375 21094 10000 13185 2.780683
m 375 21094 10000 12980 80.57999
m 375 21094 100000 482 4.870754
m 375 21094 100000 670 4.254933
m 375 21094 100000 738 4.237193
m 375 21094 100000 728 194.0893
m 375 21094 100000 635 5.544222
m 375 21094 100000 613 3.854913
m 375 21094 100000 729 3.720559
