size,particles_mpi,iterations,num_process_mpi,mean_time_serial,mean_time_mpi,speedup,efficiency
200,10000,10000,5,0.4514,0.2132,2.12,0.424
200,12000,10000,6,0.4514,0.2049,2.2,0.3667
200,8000,10000,2,0.4514,0.4119,1.1,0.55
200,16000,10000,4,0.4514,0.3353,1.35,0.3375
200,20000,10000,5,0.4514,0.2985,1.51,0.302
200,24000,10000,6,0.4514,0.2913,1.55,0.2583
200,12000,10000,2,0.4514,0.4361,1.04,0.52
200,24000,10000,4,0.4514,0.3537,1.28,0.32
200,30000,10000,5,0.4514,0.3368,1.34,0.268
200,36000,10000,6,0.4514,0.3269,1.38,0.23
200,4000,10000,2,0.4514,0.3216,1.4,0.7
200,8000,10000,4,0.4514,0.2411,1.87,0.4675
200,10000,10000,5,0.4514,0.2132,2.12,0.424
200,12000,10000,6,0.4514,0.2049,2.2,0.3667
200,8000,10000,2,0.4514,0.4119,1.1,0.55
200,16000,10000,4,0.4514,0.3353,1.35,0.3375
200,20000,10000,5,0.4514,0.2985,1.51,0.302
